domain,name,homepage,platform,evidence,matched_terms,match_hits,products_sampled,source,query
hangoutlighting.com,Custom Lighting: Pendants & Chandeliers – Hangout Lighting,https://hangoutlighting.com,shopify,products.json,"ceiling light,chandelier,flush mount,lamp,lighting,pendant,pendant light,sconce,wall sconce",750,750,seedfile,seed-file
luxurylightingboutique.com,,https://luxurylightingboutique.com,shopify,products.json,"ceiling light,chandelier,desk lamp,floor lamp,flush mount,hudson valley,lamp,lighting,pendant,pendant light,sconce,table lamp,wall light,wall sconce",746,750,seedfile,seed-file
lights4less.com.au,Australia's #1 Online Lighting Store | Lights4Less,https://lights4less.com.au,shopify,products.json,"ceiling light,chandelier,downlight,floor lamp,flush mount,lamp,lighting,pendant,pendant light,sconce,spotlight,table lamp,wall light,wall sconce",730,750,seedfile,seed-file
warehouse-lighting.com,"Shop Industrial, Commercial & Outdoor Lighting Solutions | Warehouse-Lighting.com",https://warehouse-lighting.com,shopify,products.json,"ceiling light,chandelier,downlight,flush mount,lamp,landscape lighting,led strip,light bulb,light fixture,lighting,maxim lighting,outdoor lighting,pendant,pendant light,recessed lighting,sconce,spotlight,track lighting,wall light,wall sconce",726,750,seedfile,seed-file
keslighting.co.uk,,https://keslighting.co.uk,shopify,products.json,"ceiling light,chandelier,desk lamp,downlight,floor lamp,hinkley,kichler,lamp,led bulb,lighting,pendant,pendant light,quoizel,spotlight,table lamp,wall light",712,750,seedfile,seed-file
lamps.com,,https://lamps.com,shopify,products.json,"ceiling light,chandelier,floor lamp,flush mount,hinkley,hudson valley,kichler,lamp,landscape lighting,led bulb,lighting,maxim lighting,pendant,quoizel,sconce,sea gull lighting,table lamp,tech lighting,visual comfort,wall light,wall sconce",701,750,seedfile,seed-file
lights.com,Lights.com,https://lights.com,shopify,products.json,"ceiling light,chandelier,floor lamp,flush mount,hudson valley,lamp,lighting,outdoor lighting,pendant,pendant light,sconce,table lamp,wall light,wall sconce",661,750,seedfile,seed-file
amoslighting.co.uk,Designer Lighting & Home Décor UK – Amos Lighting + Home,https://amoslighting.co.uk,shopify,products.json,"ceiling light,chandelier,desk lamp,downlight,floor lamp,flush mount,hinkley,kichler,lamp,led strip,light bulb,lighting,pendant,pendant light,quoizel,spotlight,table lamp,wall light",632,750,seedfile,seed-file
nostalgicbulbs.com,Largest Online Retailer of Vintage Lighting | Nostalgicbulbs.com,https://nostalgicbulbs.com,shopify,products.json,"ceiling light,chandelier,flush mount,lamp,lamp shade,led bulb,light bulb,lighting,pendant,pendant light,sconce,table lamp,wall sconce",610,750,seedfile,seed-file
lampsexpo.com,Designer Home Lighting Store - Stylish Indoor & Outdoor Fixtures — Lamps Expo,https://lampsexpo.com,shopify,products.json,"ceiling light,chandelier,currey and company,desk lamp,downlight,floor lamp,flush mount,hudson valley,lamp,landscape lighting,led strip,lighting,pendant,pendant light,progress lighting,quoizel,sconce,table lamp,track lighting,visual comfort,wall light,wall sconce",598,750,seedfile,seed-file
